수집시간,단지ID,단지명,매물ID,매물출처,호ID,단지타입ID,거래유형_영문,거래유형,보증금(만원),월세(만원),가격(억),가격범위여부,구,동네,동번호,층,면적_전용m2,면적_전용평,면적_계약m2,타입_m2,타입_평,방향,제목,동일호_매물수,동일호_여부,매물유형,실거래확인,직접등록여부,매물URL
2026-06-29 06:44:06,139,가락금호,49234023,zigbang,11403599,352,trade,매매,205000,0,20.5,False,송파구,가락동,106동,고,59.91,18.12,81.11,81A,25A,,"향후 영구공원조망, 입주조율가능, 최고투자처, 셔세권",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49234023
2026-06-29 06:44:06,193,가락대림,49270265,zigbang,4127950,488,trade,매매,155000,0,15.5,False,송파구,가락동,2동,중,68.78,20.81,89.96,89,27,,"26, 입주조율가능, 트인뷰, 최고 가성비 투자",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49270265
2026-06-29 06:44:06,193,가락대림,49270335,zigbang,4127724,483,trade,매매,176000,0,17.6,False,송파구,가락동,3동,중,84.11,25.44,104.39,104,31,,"재건축 진행중, 가성비 최고투자, 살기좋은 단지, 입주조율",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49270335
2026-06-29 06:44:06,193,가락대림,49428507,zigbang,4127767,484,trade,매매,217000,0,21.7,False,송파구,가락동,5동,저,99.38,30.06,120.17,120,36,,"송파구 최고의 가성비투자, 살고싶은집, 우수학군지",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428507
2026-06-29 06:44:06,193,가락대림,49428467,zigbang,4127873,486,trade,매매,220000,0,22.0,False,송파구,가락동,5동,중,120.96,36.59,144.11,144,44,,"입주조율가능, 올수리 추천매물, 살고싶은집",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428467
2026-06-29 06:44:06,193,가락대림,49428334,zigbang,4127842,486,trade,매매,220000,0,22.0,False,송파구,가락동,5동,저,120.96,36.59,144.11,144,44,,34 컨디션좋음 채광좋음  8호선송파역역세권,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428334
2026-06-29 06:44:06,193,가락대림,245523,coalition,4127881,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,11,120.96,36.59,144.11,144,44,,특올수리.재건축추진중,5,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/245523
2026-06-29 06:44:06,193,가락대림,242752,coalition,4127886,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,12,120.96,36.59,144.11,144,44,,경찰병원역 가락시장역 10분 거리,4,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/242752
2026-06-29 06:44:06,578,가락삼환,49513122,zigbang,501511,1514,trade,매매,205000,0,20.5,False,송파구,가락동,2동,7,72.88,22.05,93.68,93B,28B,,"59신청, 추분1.5예상, 27년2월까지이주예정, 자이선정",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49513122
2026-06-29 06:44:06,17517,가락스타클래스,49513206,zigbang,6730839,171208,trade,매매,170000,0,17.0,False,송파구,가락동,1동,고,84.93,25.69,110.23,110B,33B,,"탁트인 롯데타워전망, 주인거주중, 주차편리, 입지굿",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49513206
