수집시간,단지ID,단지명,매물ID,매물출처,호ID,단지타입ID,거래유형_영문,거래유형,보증금(만원),월세(만원),가격(억),가격범위여부,구,동네,동번호,층,면적_전용m2,면적_전용평,면적_계약m2,타입_m2,타입_평,방향,제목,동일호_매물수,동일호_여부,매물유형,실거래확인,직접등록여부,매물URL
2026-06-21 06:49:28,139,가락금호,49234023,zigbang,11403599,352,trade,매매,205000,0,20.5,False,송파구,가락동,106동,고,59.91,18.12,81.11,81A,25A,,"향후 영구공원조망, 입주조율가능, 최고투자처, 셔세권",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49234023
2026-06-21 06:49:28,193,가락대림,49270265,zigbang,4127950,488,trade,매매,155000,0,15.5,False,송파구,가락동,2동,중,68.78,20.81,89.96,89,27,,"26, 입주조율가능, 트인뷰, 최고 가성비 투자",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49270265
2026-06-21 06:49:28,193,가락대림,49270335,zigbang,4127724,483,trade,매매,176000,0,17.6,False,송파구,가락동,3동,중,84.11,25.44,104.39,104,31,,"재건축 진행중, 가성비 최고투자, 살기좋은 단지, 입주조율",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49270335
2026-06-21 06:49:28,193,가락대림,49428507,zigbang,4127767,484,trade,매매,217000,0,21.7,False,송파구,가락동,5동,저,99.38,30.06,120.17,120,36,,"송파구 최고의 가성비투자, 살고싶은집, 우수학군지",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428507
2026-06-21 06:49:28,193,가락대림,49428467,zigbang,4127873,486,trade,매매,220000,0,22.0,False,송파구,가락동,5동,중,120.96,36.59,144.11,144,44,,"입주조율가능, 올수리 추천매물, 살고싶은집",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428467
2026-06-21 06:49:28,193,가락대림,49428334,zigbang,4127842,486,trade,매매,220000,0,22.0,False,송파구,가락동,5동,저,120.96,36.59,144.11,144,44,,34 컨디션좋음 채광좋음  8호선송파역역세권,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428334
2026-06-21 06:49:28,193,가락대림,245523,coalition,4127881,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,11,120.96,36.59,144.11,144,44,,특올수리.재건축추진중,5,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/245523
2026-06-21 06:49:28,193,가락대림,242752,coalition,4127886,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,12,120.96,36.59,144.11,144,44,,경찰병원역 가락시장역 10분 거리,4,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/242752
2026-06-21 06:49:28,578,가락삼환,49425475,zigbang,501511,1514,trade,매매,205000,0,20.5,False,송파구,가락동,2동,7,72.88,22.05,93.68,93B,28B,,"59신청, 추분1.5예상, 27년2월까지이주예정, 자이선정",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425475
2026-06-21 06:49:28,17517,가락스타클래스,49425886,zigbang,6730839,171208,trade,매매,170000,0,17.0,False,송파구,가락동,1동,고,84.93,25.69,110.23,110B,33B,,"탁트인 롯데타워전망, 주인거주중, 주차편리, 입지굿",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425886
2026-06-21 06:49:28,17517,가락스타클래스,49425902,zigbang,6730847,171211,trade,매매,190000,0,19.0,False,송파구,가락동,1동,고,115.94,35.07,150.47,150,45,,"23년 특올수리, 주인거주, 주차편리, 오금역세권,조정가",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49425902
2026-06-21 06:49:28,804,가락쌍용1차,49234181,zigbang,12733751,146757,trade,매매,210000,0,21.0,False,송파구,가락동,103동,고,59.92,18.13,81.21,81,25,,"리모델링 진행중, 우수학군지, 살고싶은집, 입주조율가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49234181
2026-06-21 06:49:28,804,가락쌍용1차,192136,coalition,12733636,146756,trade,매매,240000,0,24.0,False,송파구,가락동,103동,1,84.69,25.62,110.67,110,33,,확장 올수리 된 로얄동 필로티 1층입니다.,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/192136
2026-06-21 06:49:28,804,가락쌍용1차,207005,coalition,12734214,146756,trade,매매,240000,0,24.0,False,송파구,가락동,202동,2,84.69,25.62,110.67,110,33,,필로티 있는 동. 뷰 좋습니다. 정문 바로 앞동. 남향,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/207005
2026-06-21 06:49:28,804,가락쌍용1차,46758501,zigbang,12734374,146756,trade,매매,250000,0,25.0,False,송파구,가락동,203동,중,84.69,25.62,110.67,110,33,,남향 로얄동 로얄층 주인거주 관리잘된집 ,1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/46758501
2026-06-21 06:49:28,804,가락쌍용1차,49016512,zigbang,12735284,146757,trade,매매,195000,0,19.5,False,송파구,가락동,305동,저,59.92,18.13,81.21,81,25,,"초,중품아,3,5호선더블역세권 도보5분,주인올수리후 거주,",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49016512
2026-06-21 06:49:28,2917,가락쌍용2차,49262925,zigbang,933214,6204,trade,매매,197000,0,19.7,False,송파구,가락동,102동,저,84.42,25.54,108.34,108,33,,"33, 급매, 리모델링진행중, 래미안, 가성비 투자처",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49262925
2026-06-21 06:49:28,2917,가락쌍용2차,49262953,zigbang,932977,6205,trade,매매,175000,0,17.5,False,송파구,가락동,103동,저,59.88,18.11,81.34,81,25,,"33, 리모델링, 수리되서 깨끗하고 채광좋음, 입주조율가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49262953
2026-06-21 06:49:28,2917,가락쌍용2차,49380379,zigbang,933141,6204,trade,매매,190000,0,19.0,False,송파구,가락동,103동,저,84.42,25.54,108.34,108,33,,"33, 입주조율가능, 살고싶은집, 리모델링 진행중, 우상향",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49380379
2026-06-21 06:49:28,2917,가락쌍용2차,49263034,zigbang,933086,6204,trade,매매,200000,0,20.0,False,송파구,가락동,103동,중,84.42,25.54,108.34,108,33,,"33, 리모델링중, 래미안, 공원학교 생활인프라 최상",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49263034
2026-06-21 06:49:28,2917,가락쌍용2차,242553,coalition,933115,6204,trade,매매,200000,0,20.0,False,송파구,가락동,103동,7,84.42,25.54,108.34,108,33,,"거실, 작은방 확장 깔끔하게 관리잘됨",3,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/242553
2026-06-21 06:49:28,2917,가락쌍용2차,49380349,zigbang,933254,6204,trade,매매,200000,0,20.0,True,송파구,가락동,104동,중,84.42,25.54,108.34,108,33,,"33, 리모델링 진행중, 래미안아펠릭스, 살고싶은집",2,동일호중복,self_ad,True,False,https://www.zigbang.com/home/apt/items/49380349
2026-06-21 06:49:28,2917,가락쌍용2차,49283373,zigbang,933050,6205,trade,매매,185000,0,18.5,False,송파구,가락동,105동,17,59.88,18.11,81.34,81,25,,"남동향, 남한산성조망, 샷시포함 수리, 방3, 화1",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49283373
2026-06-21 06:49:28,4017,가락풍림,49425376,zigbang,11692974,31194,trade,매매,150000,0,15.0,False,송파구,가락동,1동,저,80.52,24.36,107.49,107,32,,완전 특올수리. 주인거주중. 가주초 송파중 학군,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425376
2026-06-21 06:49:28,21042,가락현대(60동),49425775,zigbang,12216116,193887,trade,매매,150000,0,15.0,False,송파구,가락동,60동,중,82.16,24.85,93.36,93,28,,"더블역세권, 재건축추진중, 주변개발호재, 올수리",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425775
2026-06-21 06:49:28,88494,더샵송파루미스타,49368368,zigbang,18087346,426370,charter,전세,92000,0,9.2,False,송파구,가락동,101,중,74.9753,22.68,98.8483,98,30,,"30, 주인직접, 확트인뷰, 신축첫입주, 입주조율가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49368368
2026-06-21 06:49:28,88494,더샵송파루미스타,49425621,zigbang,18087335,426370,charter,전세,96000,0,9.6,False,송파구,가락동,101,저,74.9753,22.68,98.8483,98,30,,"시스템AC2대, 5월말부터입주협의,공원전철, 우수학군",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49425621
2026-06-21 06:49:28,88494,더샵송파루미스타,244548,coalition,18087356,426370,charter,전세,98000,0,9.8,False,송파구,가락동,101,24,74.9753,22.68,98.8483,98,30,,"재건축 신축, 오금역, 개농역 5분 거리",4,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/244548
2026-06-21 06:49:28,88494,더샵송파루미스타,49032868,zigbang,18087341,426370,rental,월세,50000,200,5.0,False,송파구,가락동,101,중,74.9753,22.68,98.8483,98,30,,"개롱역 신축아파트, 첫입주, 시스템에어컨,전동커튼등",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49032868
2026-06-21 06:49:28,88494,더샵송파루미스타,49411234,zigbang,18087399,426371,charter,전세,95000,0,9.5,False,송파구,가락동,102,저,84.9856,25.71,111.5185,111A,34A,,34 최신축 하이엔드아파트,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49411234
2026-06-21 06:49:28,88494,더샵송파루미스타,49425614,zigbang,18087407,426371,rental,월세,50000,300,5.0,False,송파구,가락동,102,11,84.9856,25.71,111.5185,111A,34A,,"풀에어컨, 신축첫입주, 조건협의가능, 남향",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425614
2026-06-21 06:49:28,88494,더샵송파루미스타,49411183,zigbang,18087486,426369,charter,전세,98000,0,9.8,False,송파구,가락동,104,중,59.9523,18.14,79.6216,79,24,,30  첫입주 최신축 하이엔드아파트  5호선개롱역세권,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49411183
2026-06-21 06:49:28,88494,더샵송파루미스타,49425648,zigbang,18087461,426373,charter,전세,105000,0,10.5,False,송파구,가락동,104,6,84.9273,25.69,112.6531,112C,34C,,"풀옵션,냉장고,붙박이장, 풀에어컨,반전세도가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425648
2026-06-21 06:49:28,88494,더샵송파루미스타,49425641,zigbang,18087511,426372,charter,전세,105000,0,10.5,False,송파구,가락동,104,고,84.9862,25.71,112.3964,112B,34B,,"조합원, 작은방붙박이장,풀에어컨, 로얄층, 오래거주",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49425641
2026-06-21 06:49:28,88494,더샵송파루미스타,49425659,zigbang,18087479,426373,charter,전세,110000,0,11.0,False,송파구,가락동,104,고,84.9273,25.69,112.6531,112C,34C,,"탁트인 남향전망, 로얄층, 더블역세권, 가동초송파중우수학군",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425659
2026-06-21 06:49:28,88494,더샵송파루미스타,49425596,zigbang,18087485,426369,rental,월세,10000,360,1.0,False,송파구,가락동,104,중,59.9523,18.14,79.6216,79,24,,"주인직접, 신축첫입주, 풀에어컨, 조합원물건, 더블역세권",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425596
2026-06-21 06:49:28,88494,더샵송파루미스타,49425602,zigbang,18087505,426372,rental,월세,50000,280,5.0,False,송파구,가락동,104,15,84.9862,25.71,112.3964,112B,34B,,"풀에어컨, 더블역세권, 신축 첫입주, 조건협의가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425602
2026-06-21 06:49:28,9044,성원상떼빌,49410607,zigbang,9112654,93735,trade,매매,150000,0,15.0,False,송파구,가락동,102동,저,101.52,30.71,126.84,126,38,,38 수리되어컨디션좋음 주변인프라최상 3호선가락시장역,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49410607
2026-06-21 06:49:28,9044,성원상떼빌,49379712,zigbang,9112720,93742,trade,매매,150000,0,15.0,False,송파구,가락동,102동,중,118.85,35.95,148.49,148,45,,"입주조율가능, 내부컨디션 굿, 잠실생활권, 최고 가성비투자",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49379712
