수집시간,단지ID,단지명,매물ID,매물출처,호ID,단지타입ID,거래유형_영문,거래유형,보증금(만원),월세(만원),가격(억),가격범위여부,구,동네,동번호,층,면적_전용m2,면적_전용평,면적_계약m2,타입_m2,타입_평,방향,제목,동일호_매물수,동일호_여부,매물유형,실거래확인,직접등록여부,매물URL
2026-08-16 02:57:02,139,가락금호,49694413,zigbang,11403473,349,trade,매매,225000,0,22.5,False,송파구,가락동,105동,17,84.85,25.67,107.98,107B,32B,,32B. 주인거주. 특올수리. 전망좋은 로얄층. 입주협의,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49694413
2026-08-16 02:57:02,193,가락대림,245523,coalition,4127881,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,11,120.96,36.59,144.11,144,44,,특올수리.재건축추진중,3,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/245523
2026-08-16 02:57:02,193,가락대림,242752,coalition,4127886,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,12,120.96,36.59,144.11,144,44,,경찰병원역 가락시장역 10분 거리,3,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/242752
2026-08-16 02:57:02,17517,가락스타클래스,50060495,zigbang,6730832,171210,trade,매매,165000,0,16.5,False,송파구,가락동,1동,10,84.98,25.71,110.29,110D,33D,,"올확장형, 주방남향테라스, 주차2대이상, 주인거주",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/50060495
2026-08-16 02:57:02,17517,가락스타클래스,50060507,zigbang,6730863,171209,trade,매매,170000,0,17.0,False,송파구,가락동,1동,중,84.97,25.7,110.28,110C,33C,,"주인거주, 안방붙박이장, 남향테라스, 주차2대, 입주협의",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/50060507
2026-08-16 02:57:02,17517,가락스타클래스,50060502,zigbang,6730839,171208,trade,매매,170000,0,17.0,False,송파구,가락동,1동,고,84.93,25.69,110.23,110B,33B,,"탁트인 롯데타워전망, 주인거주중, 주차편리, 입지굿",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/50060502
2026-08-16 02:57:02,804,가락쌍용1차,49446898,zigbang,12733486,146756,trade,매매,260000,0,26.0,False,송파구,가락동,101동,저,84.69,25.62,110.67,110,33,,"살고싶은집, 리모델링후 40평됨, 채광좋고 바람솔솔",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49446898
2026-08-16 02:57:02,804,가락쌍용1차,49870038,zigbang,12733583,146756,trade,매매,275000,0,27.5,False,송파구,가락동,102동,고,84.69,25.62,110.67,110,33,,"올확장, 올수리, 완전뻥뷰",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49870038
2026-08-16 02:57:02,804,가락쌍용1차,192136,coalition,12733636,146756,trade,매매,245000,0,24.5,False,송파구,가락동,103동,1,84.69,25.62,110.67,110,33,,확장 올수리 된 로얄동 필로티 1층입니다.,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/192136
2026-08-16 02:57:02,804,가락쌍용1차,207005,coalition,12734214,146756,trade,매매,240000,0,24.0,False,송파구,가락동,202동,2,84.69,25.62,110.67,110,33,,필로티 있는 동. 뷰 좋습니다. 정문 바로 앞동. 남향,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/207005
2026-08-16 02:57:02,804,가락쌍용1차,253628,coalition,12734421,146756,trade,매매,270000,0,27.0,False,송파구,가락동,203동,20,84.69,25.62,110.67,110,33,,"올 리모델링, 올확장, 올수리 완료.",2,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/253628
2026-08-16 02:57:02,2917,가락쌍용2차,242553,coalition,933115,6204,trade,매매,200000,0,20.0,False,송파구,가락동,103동,7,84.42,25.54,108.34,108,33,,"거실, 작은방 확장 깔끔하게 관리잘됨",2,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/242553
2026-08-16 02:57:02,2918,가락우성1차,50019033,zigbang,933778,6208,charter,전세,44000,0,4.4,False,송파구,가락동,8동,중,43.79,13.25,62.51,62,19,,"입주및 조건조율가능, 신혼부부 환영",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/50019033
2026-08-16 02:57:02,2918,가락우성1차,256448,coalition,933911,6208,charter,전세,49000,0,4.9,False,송파구,가락동,8동,1,43.79,13.25,62.51,62,19,,최대확장 최고급 인테리어 올수리,4,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/256448
2026-08-16 02:57:02,9044,성원상떼빌,50019631,zigbang,9112527,93745,trade,매매,172000,0,17.2,False,송파구,가락동,101동,중,136.24,41.21,170.22,170,51,,"협의입주,에어컨플,방3개,상가많아 살기좋아요",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/50019631
2026-08-16 02:57:02,9044,성원상떼빌,49871324,zigbang,9112602,93732,trade,매매,129000,0,12.9,False,송파구,가락동,102동,중,90.7,27.44,113.32,113,34,,"급매, 최저가, 올수리",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49871324
2026-08-16 02:57:02,9044,성원상떼빌,236008,coalition,9112657,93735,trade,매매,140000,0,14.0,True,송파구,가락동,102동,9,101.52,30.71,126.84,126,38,,"교통, 음식점, 병원  매우 편리. 깨끗 튼튼. 전망트임",3,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/236008
2026-08-16 02:57:02,9044,성원상떼빌,49737223,zigbang,9112647,93735,trade,매매,143000,0,14.3,False,송파구,가락동,102동,저,101.52,30.71,126.84,126,38,,"급매, 집상태좋음, 교통편리",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49737223
2026-08-16 02:57:02,9044,성원상떼빌,49963973,zigbang,9112680,93736,trade,매매,145000,0,14.5,False,송파구,가락동,102동,저,103.96,31.45,129.88,129,39,,"27.2월입주,역세권",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49963973
2026-08-16 02:57:02,9044,성원상떼빌,243559,coalition,9112470,93741,trade,매매,165000,0,16.5,False,송파구,가락동,102동,7,117.16,35.44,146.38,146,44,,2개 역세권이고 경찰병원과 지역 상가등 생활 매우 편리,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/243559
2026-08-16 02:57:02,11983,송파가락두산위브센티움,194494,coalition,7982159,230231,trade,매매,27000,0,2.7,False,송파구,가락동,1동,10,33.1,10.01,47.14,47B,14B,,[면적상 토허제 문제없이 매수가능 확인완료],1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/194494
2026-08-16 02:57:02,9045,한화오벨리스크,213541,coalition,12465051,166213,trade,매매,18700,0,1.87,False,송파구,가락동,1동,20,25.32,7.66,36.04,36,11,,월세 1000/75 승계 조건,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/213541
2026-08-16 02:57:02,9045,한화오벨리스크,224644,coalition,12465056,166216,trade,매매,60000,0,6.0,False,송파구,가락동,1동,20,48.8,14.76,69.47,69,21,,가락동 경찰병원역 ,2,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/224644
2026-08-16 02:57:02,38487,헬리오시티,49723223,zigbang,12962183,161670,trade,매매,288000,0,28.8,False,송파구,가락동,101동,고,84.96,25.7,107.66,107J1,32J1,,"33,초급매,갭투,무주택자매수가,해누리초중,강추매물",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49723223
2026-08-16 02:57:02,38487,헬리오시티,49209193,zigbang,12962177,161670,trade,매매,288000,0,28.8,False,송파구,가락동,101동,고,84.96,25.7,107.66,107J1,32J1,,"33, 높은 세안고, 무주택자매수 , 남향, 해누리학군, ",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49209193
