수집시간,단지ID,단지명,매물ID,매물출처,호ID,단지타입ID,거래유형_영문,거래유형,보증금(만원),월세(만원),가격(억),가격범위여부,구,동네,동번호,층,면적_전용m2,면적_전용평,면적_계약m2,타입_m2,타입_평,방향,제목,동일호_매물수,동일호_여부,매물유형,실거래확인,직접등록여부,매물URL
2026-07-11 05:11:13,193,가락대림,49270265,zigbang,4127950,488,trade,매매,155000,0,15.5,False,송파구,가락동,2동,중,68.78,20.81,89.96,89,27,,"26, 입주조율가능, 트인뷰, 최고 가성비 투자",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49270265
2026-07-11 05:11:13,193,가락대림,49270335,zigbang,4127724,483,trade,매매,176000,0,17.6,False,송파구,가락동,3동,중,84.11,25.44,104.39,104,31,,"재건축 진행중, 가성비 최고투자, 살기좋은 단지, 입주조율",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49270335
2026-07-11 05:11:13,193,가락대림,49428507,zigbang,4127767,484,trade,매매,217000,0,21.7,False,송파구,가락동,5동,저,99.38,30.06,120.17,120,36,,"송파구 최고의 가성비투자, 살고싶은집, 우수학군지",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428507
2026-07-11 05:11:13,193,가락대림,49428467,zigbang,4127873,486,trade,매매,220000,0,22.0,False,송파구,가락동,5동,중,120.96,36.59,144.11,144,44,,"입주조율가능, 올수리 추천매물, 살고싶은집",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428467
2026-07-11 05:11:13,193,가락대림,49428334,zigbang,4127842,486,trade,매매,220000,0,22.0,False,송파구,가락동,5동,저,120.96,36.59,144.11,144,44,,34 컨디션좋음 채광좋음  8호선송파역역세권,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49428334
2026-07-11 05:11:13,193,가락대림,245523,coalition,4127881,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,11,120.96,36.59,144.11,144,44,,특올수리.재건축추진중,5,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/245523
2026-07-11 05:11:13,193,가락대림,242752,coalition,4127886,486,trade,매매,230000,0,23.0,False,송파구,가락동,5동,12,120.96,36.59,144.11,144,44,,경찰병원역 가락시장역 10분 거리,4,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/242752
2026-07-11 05:11:13,17517,가락스타클래스,49674423,zigbang,6730832,171210,trade,매매,165000,0,16.5,False,송파구,가락동,1동,10,84.98,25.71,110.29,110D,33D,,"올확장형, 주방남향테라스, 주차2대이상, 주인거주",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49674423
2026-07-11 05:11:13,17517,가락스타클래스,49674427,zigbang,6730863,171209,trade,매매,170000,0,17.0,False,송파구,가락동,1동,중,84.97,25.7,110.28,110C,33C,,"주인거주, 안방붙박이장, 남향테라스, 주차2대, 입주협의",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49674427
2026-07-11 05:11:13,17517,가락스타클래스,49674425,zigbang,6730839,171208,trade,매매,170000,0,17.0,False,송파구,가락동,1동,고,84.93,25.69,110.23,110B,33B,,"탁트인 롯데타워전망, 주인거주중, 주차편리, 입지굿",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49674425
2026-07-11 05:11:13,804,가락쌍용1차,49446898,zigbang,12733486,146756,trade,매매,260000,0,26.0,False,송파구,가락동,101동,저,84.69,25.62,110.67,110,33,,"살고싶은집, 리모델링후 40평됨, 채광좋고 바람솔솔",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49446898
2026-07-11 05:11:13,804,가락쌍용1차,49446864,zigbang,12733569,146756,trade,매매,255000,0,25.5,False,송파구,가락동,102동,고,84.69,25.62,110.67,110,33,,"리모델링 건축심의중, 아이키우기좋은집, 올수리, 조율가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49446864
2026-07-11 05:11:13,804,가락쌍용1차,49234181,zigbang,12733751,146757,trade,매매,210000,0,21.0,False,송파구,가락동,103동,고,59.92,18.13,81.21,81,25,,"리모델링 진행중, 우수학군지, 살고싶은집, 입주조율가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49234181
2026-07-11 05:11:13,804,가락쌍용1차,192136,coalition,12733636,146756,trade,매매,240000,0,24.0,False,송파구,가락동,103동,1,84.69,25.62,110.67,110,33,,확장 올수리 된 로얄동 필로티 1층입니다.,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/192136
2026-07-11 05:11:13,804,가락쌍용1차,207005,coalition,12734214,146756,trade,매매,240000,0,24.0,False,송파구,가락동,202동,2,84.69,25.62,110.67,110,33,,필로티 있는 동. 뷰 좋습니다. 정문 바로 앞동. 남향,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/207005
2026-07-11 05:11:13,804,가락쌍용1차,46758501,zigbang,12734374,146756,trade,매매,250000,0,25.0,False,송파구,가락동,203동,중,84.69,25.62,110.67,110,33,,남향 로얄동 로얄층 주인거주 관리잘된집 ,1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/46758501
2026-07-11 05:11:13,2917,가락쌍용2차,49262925,zigbang,933214,6204,trade,매매,197000,0,19.7,False,송파구,가락동,102동,저,84.42,25.54,108.34,108,33,,"33, 급매, 리모델링진행중, 래미안, 가성비 투자처",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49262925
2026-07-11 05:11:13,2917,가락쌍용2차,49380379,zigbang,933141,6204,trade,매매,190000,0,19.0,False,송파구,가락동,103동,저,84.42,25.54,108.34,108,33,,"33, 입주조율가능, 살고싶은집, 리모델링 진행중, 우상향",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49380379
2026-07-11 05:11:13,2917,가락쌍용2차,49263034,zigbang,933086,6204,trade,매매,200000,0,20.0,False,송파구,가락동,103동,중,84.42,25.54,108.34,108,33,,"33, 리모델링중, 래미안, 공원학교 생활인프라 최상",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49263034
2026-07-11 05:11:13,2917,가락쌍용2차,242553,coalition,933115,6204,trade,매매,200000,0,20.0,False,송파구,가락동,103동,7,84.42,25.54,108.34,108,33,,"거실, 작은방 확장 깔끔하게 관리잘됨",3,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/242553
2026-07-11 05:11:13,2917,가락쌍용2차,49380349,zigbang,933254,6204,trade,매매,200000,0,20.0,True,송파구,가락동,104동,중,84.42,25.54,108.34,108,33,,"33, 리모델링 진행중, 래미안아펠릭스, 살고싶은집",2,동일호중복,self_ad,True,False,https://www.zigbang.com/home/apt/items/49380349
2026-07-11 05:11:13,2917,가락쌍용2차,49283373,zigbang,933050,6205,trade,매매,185000,0,18.5,False,송파구,가락동,105동,17,59.88,18.11,81.34,81,25,,"남동향, 남한산성조망, 샷시포함 수리, 방3, 화1",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/49283373
2026-07-11 05:11:13,4017,가락풍림,49425376,zigbang,11692974,31194,trade,매매,150000,0,15.0,False,송파구,가락동,1동,저,80.52,24.36,107.49,107,32,,완전 특올수리. 주인거주중. 가주초 송파중 학군,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49425376
2026-07-11 05:11:13,88494,더샵송파루미스타,49368368,zigbang,18087346,426370,charter,전세,90000,0,9.0,False,송파구,가락동,101,중,74.9753,22.68,98.8483,98,30,,"30, 주인직접, 확트인뷰, 신축첫입주, 입주조율가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/49368368
