수집시간,단지ID,단지명,매물ID,매물출처,호ID,단지타입ID,거래유형_영문,거래유형,보증금(만원),월세(만원),가격(억),가격범위여부,구,동네,동번호,층,면적_전용m2,면적_전용평,면적_계약m2,타입_m2,타입_평,방향,제목,동일호_매물수,동일호_여부,매물유형,실거래확인,직접등록여부,매물URL
2026-04-21 04:47:26,139,가락금호,48687557,zigbang,11403689,350,trade,매매,218000,0,21.8,False,송파구,가락동,107동,18,85,25.71,108.14,108A,33A,,32특급매물 주인거주 화이트올수리된집 바로계약가능실매물,2,동일호중복,self_ad,False,False,https://www.zigbang.com/home/apt/items/48687557
2026-04-21 04:47:26,193,가락대림,48681749,zigbang,4127968,488,rental,월세,1000,300,0.1,False,송파구,가락동,2동,15,68.78,20.81,89.96,89,27,,"30, 6월말까지 단기임대, 조율가능",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/48681749
2026-04-21 04:47:26,17517,가락스타클래스,48755323,zigbang,6730839,171208,trade,매매,170000,0,17.0,False,송파구,가락동,1동,고,84.93,25.69,110.23,110B,33B,,"탁트인 롯데타워전망, 주인거주중, 주차편리, 입지굿",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48755323
2026-04-21 04:47:26,17517,가락스타클래스,48755325,zigbang,6730847,171211,trade,매매,195000,0,19.5,False,송파구,가락동,1동,고,115.94,35.07,150.47,150,45,,"23년 특올수리, 주인거주, 주차편리, 오금역세권",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/48755325
2026-04-21 04:47:26,804,가락쌍용1차,48591212,zigbang,12733488,146756,trade,매매,255000,0,25.5,False,송파구,가락동,101동,저,84.69,25.62,110.67,110,33,,"33, 리모델링 진행중, 살기좋은집, 채광좋고 따뜻",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/48591212
2026-04-21 04:47:26,804,가락쌍용1차,48271000,zigbang,12733580,146756,trade,매매,210000,0,21.0,False,송파구,가락동,102동,고,84.69,25.62,110.67,110,33,,"25, 정남향귀한집, 상가옆, 우수학군지, 살고싶은집",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48271000
2026-04-21 04:47:26,804,가락쌍용1차,48630811,zigbang,12733802,146756,trade,매매,207000,0,20.7,False,송파구,가락동,103동,6,84.69,25.62,110.67,110,33,,올확장 특올수리된 예쁜집 남향 입주협의 리모델링추진중,1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48630811
2026-04-21 04:47:26,804,가락쌍용1차,192136,coalition,12733636,146756,trade,매매,240000,0,24.0,False,송파구,가락동,103동,1,84.69,25.62,110.67,110,33,,확장 올수리 된 로얄동 필로티 1층입니다.,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/192136
2026-04-21 04:47:26,804,가락쌍용1차,48630636,zigbang,12733971,146756,trade,매매,210000,0,21.0,False,송파구,가락동,201동,중,84.69,25.62,110.67,110,33,,로얄동 올수리된 채광 조망좋은 남향 리모델링추진,1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/48630636
2026-04-21 04:47:26,804,가락쌍용1차,48591142,zigbang,12734013,146756,trade,매매,215000,0,21.5,False,송파구,가락동,201동,15,84.69,25.62,110.67,110,33,,"33, 살고싶은집, 초품아로 곧 헬리오 뛰어남을 단지",4,동일호중복,self_ad,True,False,https://www.zigbang.com/home/apt/items/48591142
2026-04-21 04:47:26,804,가락쌍용1차,207005,coalition,12734214,146756,trade,매매,240000,0,24.0,False,송파구,가락동,202동,2,84.69,25.62,110.67,110,33,,필로티 있는 동. 뷰 좋습니다. 정문 바로 앞동. 남향,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/207005
2026-04-21 04:47:26,804,가락쌍용1차,48678730,zigbang,12734463,146757,trade,매매,179000,0,17.9,False,송파구,가락동,203동,고,59.92,18.13,81.21,81,25,,"25, 초급매, 세안고, 내년초, 정남향, 송파 최고투자처",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48678730
2026-04-21 04:47:26,804,가락쌍용1차,195317,coalition,12734374,146756,trade,매매,250000,0,25.0,False,송파구,가락동,203동,16,84.69,25.62,110.67,110,33,,"올확장, 주인거주, 입주날짜 협의가능, 가주초, 송파중 인",2,동일호중복,partner,True,False,https://www.zigbang.com/home/apt/items/195317
2026-04-21 04:47:26,804,가락쌍용1차,48678843,zigbang,12734629,146757,trade,매매,180000,0,18.0,False,송파구,가락동,205동,고,59.92,18.13,81.21,81,25,,"25, 급매, 세안고, 정남향, 채광굿, 리모델링진행중",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48678843
2026-04-21 04:47:26,804,가락쌍용1차,48270883,zigbang,12735314,146757,trade,매매,180000,0,18.0,False,송파구,가락동,501동,중,59.92,18.13,81.21,81,25,,"25, 학교바로옆, 채광좋고 따뜻",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48270883
2026-04-21 04:47:26,21042,가락현대(60동),48755262,zigbang,12216116,193887,trade,매매,150000,0,15.0,False,송파구,가락동,60동,중,82.16,24.85,93.36,93,28,,"더블역세권, 재건축추진중, 주변개발호재, 올수리",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48755262
2026-04-21 04:47:26,88494,더샵송파루미스타,233209,coalition,18087336,426370,trade,매매,209000,0,20.9,False,송파구,가락동,101,4,74.9753,22.68,98.8483,98,30,,개인사정으로 초신축 매물 내놓습니다. ,1,단독매물,partner,True,False,https://www.zigbang.com/home/apt/items/233209
2026-04-21 04:47:26,88494,더샵송파루미스타,48755226,zigbang,18087335,426370,charter,전세,98000,0,9.8,False,송파구,가락동,101,저,74.9753,22.68,98.8483,98,30,,"시스템AC2대, 5월말부터입주협의,공원전철, 우수학군",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48755226
2026-04-21 04:47:26,88494,더샵송파루미스타,48603819,zigbang,18087400,426371,charter,전세,102000,0,10.2,False,송파구,가락동,102,저,84.9856,25.71,111.5185,111A,34A,,"33, 신축첫입주, 채광좋고 따뜻, 살고싶은집",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48603819
2026-04-21 04:47:26,88494,더샵송파루미스타,48755233,zigbang,18087414,426371,charter,전세,110000,0,11.0,False,송파구,가락동,102,고,84.9856,25.71,111.5185,111A,34A,,"신축 귀한전세, 5월20일부터7월중순까지, 개롱역바로앞",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48755233
2026-04-21 04:47:26,88494,더샵송파루미스타,48685858,zigbang,18087378,426374,charter,전세,130000,0,13.0,False,송파구,가락동,102,저,99.9989,30.25,131.0513,131,40,,"39, 신축첫입주, 살고싶은집, 우수학군지, 입주조율가능",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48685858
2026-04-21 04:47:26,88494,더샵송파루미스타,48685796,zigbang,18087397,426374,charter,전세,140000,0,14.0,False,송파구,가락동,102,고,99.9989,30.25,131.0513,131,40,,"39, 신춧첫입주, 살고싶은집, 입주조율가능, 우수학군지",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/48685796
2026-04-21 04:47:26,88494,더샵송파루미스타,48603864,zigbang,18087394,426374,rental,월세,50000,220,5.0,False,송파구,가락동,102,고,99.9989,30.25,131.0513,131,40,,"신축첫입주, 채광좋고 따뜻, 살고싶은집",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48603864
2026-04-21 04:47:26,88494,더샵송파루미스타,48685750,zigbang,18087397,426374,rental,월세,100000,160,10.0,False,송파구,가락동,102,고,99.9989,30.25,131.0513,131,40,,"39, 주인직접, 신축첫입주, 살고싶은집, 입주조율가능",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/48685750
2026-04-21 04:47:26,88494,더샵송파루미스타,48141770,zigbang,18087447,426371,charter,전세,115000,0,11.5,True,송파구,가락동,103,중,84.9856,25.71,111.5185,111A,34A,,"5월 첫입주, 더블역세권, 방3화2, 공세권, 학교인근",2,동일호중복,self_ad,True,False,https://www.zigbang.com/home/apt/items/48141770
2026-04-21 04:47:26,88494,더샵송파루미스타,48755251,zigbang,18087429,426374,charter,전세,140000,0,14.0,False,송파구,가락동,103,14,99.9989,30.25,131.0513,131,40,,"99타입, 냉장냉동김치냉장고, 특화조명, 풀에어컨,오븐",1,단독매물,self_ad,True,False,https://www.zigbang.com/home/apt/items/48755251
2026-04-21 04:47:26,88494,더샵송파루미스타,48141811,zigbang,18087447,426371,rental,월세,50000,280,5.0,True,송파구,가락동,103,9,84.9856,25.71,111.5185,111A,34A,,"5월 첫입주, 더블역세권, 방3화2, 공세권, 학교인근",2,동일호중복,self_ad,True,False,https://www.zigbang.com/home/apt/items/48141811
2026-04-21 04:47:26,88494,더샵송파루미스타,48559767,zigbang,18087426,426374,rental,월세,70000,280,7.0,False,송파구,가락동,103,중,99.9989,30.25,131.0513,131,40,,"39, 신축첫입주, 시스템에어컨, 더블역세권, 채광굿",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48559767
2026-04-21 04:47:26,88494,더샵송파루미스타,48706964,zigbang,18087507,426372,trade,매매,229000,0,22.9,False,송파구,가락동,104,고,84.9862,25.71,112.3964,112B,34B,,"34B, 급매, 투자가치 상승",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48706964
2026-04-21 04:47:26,88494,더샵송파루미스타,48559031,zigbang,18087469,426373,charter,전세,94500,0,9.45,False,송파구,가락동,104,중,84.9273,25.69,112.6531,112C,34C,,"25, 신축첫입주, 교통편리, 시스템에어컨",1,단독매물,self_ad,False,False,https://www.zigbang.com/home/apt/items/48559031
